GemeenteCode,GemeenteNaam,Postcode,StembureauNaam,StembureauCode,PartijNaam,AantalStemmen
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,50PLUS,2
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,BBB,42
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,BIJ1,5
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,BVNL / Groep Van Haga,11
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,CDA,11
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,ChristenUnie,9
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,D66,61
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,DENK,38
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,Forum voor Democratie,25
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,GROENLINKS / Partij van de Arbeid (PvdA),154
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,JA21,10
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,LEF - Voor de Nieuwe Generatie,1
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,LP (Libertaire Partij),1
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,Nederland met een PLAN,4
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,Nieuw Sociaal Contract,126
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,Partij voor de Dieren,21
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,Piratenpartij - De Groenen,1
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,Politieke Partij voor Basisinkomen,0
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,PVV (Partij voor de Vrijheid),324
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,Samen voor Nederland,2
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,Splinter,1
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,SP (Socialistische Partij),45
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,Staatkundig Gereformeerde Partij (SGP),0
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,Volt,24
34,Almere,NA,Stembureau Tent Bizonplantsoen,SB118,VVD,174
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,50PLUS,1
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,BBB,3
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,BIJ1,0
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,BVNL / Groep Van Haga,0
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,CDA,2
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,ChristenUnie,2
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,D66,8
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,DENK,8
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,Forum voor Democratie,2
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,GROENLINKS / Partij van de Arbeid (PvdA),22
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,JA21,0
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,LEF - Voor de Nieuwe Generatie,0
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,LP (Libertaire Partij),0
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,Nederland met een PLAN,0
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,Nieuw Sociaal Contract,3
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,Partij voor de Dieren,0
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,Piratenpartij - De Groenen,0
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,Politieke Partij voor Basisinkomen,0
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,PVV (Partij voor de Vrijheid),52
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,Samen voor Nederland,1
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,Splinter,0
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,SP (Socialistische Partij),10
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,Staatkundig Gereformeerde Partij (SGP),0
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,Volt,1
34,Almere,NA,Stembureau Drive-Through 1 Veluwsekant,SB122,VVD,24
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,50PLUS,7
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,BBB,17
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,BIJ1,14
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,BVNL / Groep Van Haga,4
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,CDA,5
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,ChristenUnie,10
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,D66,24
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,DENK,48
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,Forum voor Democratie,31
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,GROENLINKS / Partij van de Arbeid (PvdA),57
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,JA21,2
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,LEF - Voor de Nieuwe Generatie,1
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,LP (Libertaire Partij),0
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,Nederland met een PLAN,0
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,Nieuw Sociaal Contract,59
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,Partij voor de Dieren,7
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,Piratenpartij - De Groenen,0
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,Politieke Partij voor Basisinkomen,0
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,PVV (Partij voor de Vrijheid),211
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,Samen voor Nederland,0
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,Splinter,1
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,SP (Socialistische Partij),26
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,Staatkundig Gereformeerde Partij (SGP),1
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,Volt,3
34,Almere,NA,Stembureau Drive-Through 1 Doemere,SB123,VVD,81
34,Almere,NA,Stembureau Drive-Through 2 Veluwsekant,SB161,50PLUS,4
34,Almere,NA,Stembureau Drive-Through 2 Veluwsekant,SB161,BBB,3
34,Almere,NA,Stembureau Drive-Through 2 Veluwsekant,SB161,BIJ1,3
34,Almere,NA,Stembureau Drive-Through 2 Veluwsekant,SB161,BVNL / Groep Van Haga,3
34,Almere,NA,Stembureau Drive-Through 2 Veluwsekant,SB161,CDA,0
34,Almere,NA,Stembureau Drive-Through 2 Veluwsekant,SB161,ChristenUnie,0
34,Almere,NA,Stembureau Drive-Through 2 Veluwsekant,SB161,D66,8
34,Almere,NA,Stembureau Drive-Through 2 Veluwsekant,SB161,DENK,7
34,Almere,NA,Stembureau Drive-Through 2 Veluwsekant,SB161,Forum voor Democratie,2
34,Almere,NA,Stembureau Drive-Through 2 Veluwsekant,SB161,GROENLINKS / Partij van de Arbeid (PvdA),19
