pc4,party,votes,valid_votes_pc4,vote_share
1011,GROENLINKS / Partij van de Arbeid (PvdA),3546,7771,0.45631192896667094
1011,D66,806,7771,0.10371895508943509
1011,VVD,736,7771,0.09471110539184147
1011,Partij voor de Dieren,509,7771,0.06549993565821645
1011,PVV (Partij voor de Vrijheid),460,7771,0.059194440869900916
1011,Nieuw Sociaal Contract,389,7771,0.05005790760519881
1011,Volt,329,7771,0.04233689357869
1011,SP (Socialistische Partij),254,7771,0.03268562604555398
1011,BIJ1,193,7771,0.024835928451936686
1011,Forum voor Democratie,137,7771,0.017629648693861792
1011,DENK,124,7771,0.015956762321451552
1011,BBB,56,7771,0.007206279758074894
1011,CDA,55,7771,0.007077596190966414
1011,ChristenUnie,42,7771,0.0054047098185561705
1011,JA21,36,7771,0.004632608415905289
1011,BVNL / Groep Van Haga,21,7771,0.0027023549092780852
1011,Nederland met een PLAN,14,7771,0.0018015699395187235
1011,50PLUS,13,7771,0.0016728863724102432
1011,Piratenpartij - De Groenen,11,7771,0.0014155192381932827
1011,Splinter,10,7771,0.0012868356710848024
1011,LEF - Voor de Nieuwe Generatie,8,7771,0.001029468536867842
1011,LP (Libertaire Partij),8,7771,0.001029468536867842
1011,Staatkundig Gereformeerde Partij (SGP),6,7771,7.721014026508815e-4
1011,PartijvdSport,3,7771,3.8605070132544073e-4
1011,Politieke Partij voor Basisinkomen,3,7771,3.8605070132544073e-4
1011,Samen voor Nederland,2,7771,2.573671342169605e-4
1012,GROENLINKS / Partij van de Arbeid (PvdA),2419,6200,0.3901612903225806
1012,VVD,786,6200,0.1267741935483871
1012,D66,703,6200,0.11338709677419355
1012,Partij voor de Dieren,456,6200,0.07354838709677419
1012,PVV (Partij voor de Vrijheid),396,6200,0.06387096774193549
1012,Volt,380,6200,0.06129032258064516
1012,Nieuw Sociaal Contract,330,6200,0.0532258064516129
1012,BIJ1,222,6200,0.035806451612903224
1012,SP (Socialistische Partij),138,6200,0.022258064516129033
1012,Forum voor Democratie,100,6200,0.016129032258064516
1012,DENK,59,6200,0.009516129032258064
1012,CDA,44,6200,0.0070967741935483875
1012,ChristenUnie,34,6200,0.005483870967741935
1012,JA21,32,6200,0.005161290322580645
1012,BBB,29,6200,0.00467741935483871
1012,BVNL / Groep Van Haga,19,6200,0.003064516129032258
1012,Piratenpartij - De Groenen,12,6200,0.001935483870967742
1012,Splinter,9,6200,0.0014516129032258066
1012,LP (Libertaire Partij),8,6200,0.0012903225806451613
1012,50PLUS,7,6200,0.0011290322580645162
1012,Staatkundig Gereformeerde Partij (SGP),6,6200,9.67741935483871e-4
1012,LEF - Voor de Nieuwe Generatie,5,6200,8.064516129032258e-4
1012,Nederland met een PLAN,4,6200,6.451612903225806e-4
1012,Politieke Partij voor Basisinkomen,1,6200,1.6129032258064516e-4
1012,Samen voor Nederland,1,6200,1.6129032258064516e-4
1012,PartijvdSport,0,6200,0
1013,GROENLINKS / Partij van de Arbeid (PvdA),4902,11677,0.41979960606320116
1013,D66,1154,11677,0.098826753446947
1013,VVD,1046,11677,0.08957780251776998
1013,PVV (Partij voor de Vrijheid),917,11677,0.07853044446347521
1013,Partij voor de Dieren,804,11677,0.0688533013616511
1013,Nieuw Sociaal Contract,658,11677,0.056350089920356256
1013,Volt,499,11677,0.04273357883017898
1013,SP (Socialistische Partij),464,11677,0.039736233621649394
1013,DENK,303,11677,0.02594844566241329
1013,BIJ1,278,11677,0.02380748479917787
1013,Forum voor Democratie,245,11677,0.020981416459707115
1013,BBB,76,11677,0.006508521024235677
1013,CDA,75,11677,0.00642288258970626
1013,ChristenUnie,61,11677,0.005223944506294425
1013,BVNL / Groep Van Haga,39,11677,0.0033398989466472554
1013,JA21,33,11677,0.0028260683394707546
1013,50PLUS,29,11677,0.002483514601353087
1013,Piratenpartij - De Groenen,27,11677,0.002312237732294254
1013,LEF - Voor de Nieuwe Generatie,17,11677,0.0014558533870000856
1013,Splinter,15,11677,0.0012845765179412521
1013,Staatkundig Gereformeerde Partij (SGP),8,11677,6.851074762353344e-4
1013,Nederland met een PLAN,7,11677,5.994690417059176e-4
1013,PartijvdSport,7,11677,5.994690417059176e-4
1013,LP (Libertaire Partij),5,11677,4.28192172647084e-4
1013,Politieke Partij voor Basisinkomen,5,11677,4.28192172647084e-4
1013,Samen voor Nederland,3,11677,2.569153035882504e-4
1014,GROENLINKS / Partij van de Arbeid (PvdA),1334,3112,0.4286632390745501
1014,VVD,448,3112,0.14395886889460155
1014,D66,446,3112,0.14331619537275064
1014,Volt,157,3112,0.05044987146529563
1014,Partij voor de Dieren,139,3112,0.04466580976863753
1014,PVV (Partij voor de Vrijheid),133,3112,0.04273778920308483
1014,Nieuw Sociaal Contract,119,3112,0.03823907455012854
1014,SP (Socialistische Partij),70,3112,0.02249357326478149
1014,BIJ1,60,3112,0.019280205655526992
1014,DENK,60,3112,0.019280205655526992
1014,Forum voor Democratie,51,3112,0.016388174807197942
1014,ChristenUnie,25,3112,0.008033419023136246
1014,CDA,20,3112,0.006426735218508998
1014,BBB,11,3112,0.0035347043701799484
1014,JA21,10,3112,0.003213367609254499
1014,Splinter,8,3112,0.002570694087403599
1014,Piratenpartij - De Groenen,7,3112,0.002249357326478149
1014,50PLUS,5,3112,0.0016066838046272494
1014,BVNL / Groep Van Haga,5,3112,0.0016066838046272494
1014,Nederland met een PLAN,2,3112,6.426735218508997e-4
1014,LEF - Voor de Nieuwe Generatie,1,3112,3.2133676092544985e-4
1014,Politieke Partij voor Basisinkomen,1,3112,3.2133676092544985e-4
1014,LP (Libertaire Partij),0,3112,0
1014,PartijvdSport,0,3112,0
1014,Samen voor Nederland,0,3112,0
1014,Staatkundig Gereformeerde Partij (SGP),0,3112,0
1015,GROENLINKS / Partij van de Arbeid (PvdA),2818,7110,0.39634317862165963
1015,VVD,910,7110,0.1279887482419128
1015,D66,862,7110,0.12123769338959213
1015,PVV (Partij voor de Vrijheid),582,7110,0.08185654008438818
1015,Partij voor de Dieren,432,7110,0.060759493670886074
1015,Nieuw Sociaal Contract,396,7110,0.05569620253164557
1015,Volt,336,7110,0.04725738396624472
1015,SP (Socialistische Partij),213,7110,0.029957805907172997
1015,Forum voor Democratie,150,7110,0.02109704641350211
1015,BIJ1,122,7110,0.017158931082981718
1015,CDA,58,7110,0.008157524613220815
1015,DENK,52,7110,0.0073136427566807315
1015,BBB,42,7110,0.00590717299578059
1015,BVNL / Groep Van Haga,31,7110,0.004360056258790436
1015,JA21,29,7110,0.004078762306610408
1015,ChristenUnie,26,7110,0.0036568213783403658
1015,Piratenpartij - De Groenen,16,7110,0.002250351617440225
1015,50PLUS,10,7110,0.0014064697609001407
1015,Nederland met een PLAN,5,7110,7.032348804500703e-4
1015,Splinter,5,7110,7.032348804500703e-4
1015,LEF - Voor de Nieuwe Generatie,4,7110,5.625879043600563e-4
1015,PartijvdSport,4,7110,5.625879043600563e-4
1015,LP (Libertaire Partij),3,7110,4.219409282700422e-4
1015,Staatkundig Gereformeerde Partij (SGP),3,7110,4.219409282700422e-4
1015,Samen voor Nederland,1,7110,1.4064697609001407e-4
1015,Politieke Partij voor Basisinkomen,0,7110,0
1016,GROENLINKS / Partij van de Arbeid (PvdA),3434,8713,0.39412372317227135
1016,VVD,1321,8713,0.15161253299667163
1016,D66,1119,8713,0.12842878457477333
1016,PVV (Partij voor de Vrijheid),555,8713,0.06369792264432457
1016,Partij voor de Dieren,473,8713,0.05428669803741536
1016,Nieuw Sociaal Contract,465,8713,0.05336852978308275
1016,Volt,458,8713,0.05256513256054172
1016,SP (Socialistische Partij),213,8713,0.024446229771605647
1016,BIJ1,181,8713,0.02077355675427522
1016,Forum voor Democratie,153,8713,0.017559967864111098
1016,CDA,76,8713,0.008722598416159761
1016,DENK,47,8713,0.005394238494204063
1016,ChristenUnie,41,8713,0.004705612303454608
1016,BBB,39,8713,0.004476070239871456
1016,JA21,36,8713,0.004131757144496729
1016,BVNL / Groep Van Haga,27,8713,0.003098817858372547
1016,Piratenpartij - De Groenen,18,8713,0.0020658785722483643
1016,50PLUS,16,8713,0.0018363365086652129
1016,Splinter,16,8713,0.0018363365086652129
1016,Staatkundig Gereformeerde Partij (SGP),12,8713,0.0013772523814989098
1016,Politieke Partij voor Basisinkomen,4,8713,4.590841271663032e-4
1016,LEF - Voor de Nieuwe Generatie,3,8713,3.4431309537472744e-4
1016,LP (Libertaire Partij),3,8713,3.4431309537472744e-4
