source_party,party,party_label
50PLUS,50PLUS,50PLUS
Anti Europa Partij,Anti Europa Partij,Anti Europa Partij
Artikel 1,Artikel 1,Artikel 1
BBB,BBB,BBB
BIJ1,BIJ1,BIJ1
BVNL / Groep Van Haga,BVNL,BVNL / Groep Van Haga
Blanco (lijst 30),Blanco (lijst 30),Blanco (lijst 30)
CDA,CDA,CDA
CODE ORANJE,CODE ORANJE,CODE ORANJE
Christen Democratisch Appèl (CDA),CDA,CDA
ChristenUnie,CU,ChristenUnie
D66,D66,D66
DE FEESTPARTIJ (DFP),DE FEESTPARTIJ (DFP),DE FEESTPARTIJ (DFP)
DENK,DENK,DENK
De Burger Beweging,De Burger Beweging,De Burger Beweging
De Groenen,Groenen,De Groenen
Democraten 66 (D66),D66,D66
Democratisch Politiek Keerpunt DPK,Democratisch Politiek Keerpunt DPK,Democratisch Politiek Keerpunt DPK
Forum voor Democratie,FvD,Forum voor Democratie
GROENLINKS,GL,GroenLinks
GROENLINKS / Partij van de Arbeid (PvdA),GL-PvdA,GroenLinks-PvdA
GeenPeil,GeenPeil,GeenPeil
JA21,JA21,JA21
JEZUS LEEFT,JEZUS LEEFT,JEZUS LEEFT
JONG,JONG,JONG
LEF - Voor de Nieuwe Generatie,LEF - Voor de Nieuwe Generatie,LEF - Voor de Nieuwe Generatie
LP (Libertaire Partij),LP,Libertaire Partij
Liberaal Democratische Partij (LibDem),Liberaal Democratische Partij (LibDem),Liberaal Democratische Partij (LibDem)
Libertarische Partij (LP),LP,Libertaire Partij
Lijst Henk Krol,Lijst Henk Krol,Lijst Henk Krol
Lokaal in de Kamer,Lokaal in de Kamer,Lokaal in de Kamer
MenS en Spirit / Basisinkomen Partij / V-R,MenS en Spirit / Basisinkomen Partij / V-R,MenS en Spirit / Basisinkomen Partij / V-R
Modern Nederland,Modern Nederland,Modern Nederland
NIDA,NIDA,NIDA
NIEUWE WEGEN,NIEUWE WEGEN,NIEUWE WEGEN
NLBeter,NLBeter,NLBeter
Nederland Lokaal,Nederland Lokaal,Nederland Lokaal
Nederland met een PLAN,Nederland met een PLAN,Nederland met een PLAN
Niet Stemmers,Niet Stemmers,Niet Stemmers
Nieuw Sociaal Contract,NSC,Nieuw Sociaal Contract
OPRECHT,OPRECHT,OPRECHT
OndernemersPartij,OndernemersPartij,OndernemersPartij
PVV (Partij voor de Vrijheid),PVV,PVV
Partij van de Arbeid (P.v.d.A.),PvdA,PvdA
Partij van de Eenheid,Partij van de Eenheid,Partij van de Eenheid
Partij van de Toekomst (PvdT),Partij van de Toekomst (PvdT),Partij van de Toekomst (PvdT)
Partij voor Mens en Spirit (MenS),Partij voor Mens en Spirit (MenS),Partij voor Mens en Spirit (MenS)
Partij voor de Dieren,PvdD,Partij voor de Dieren
Partij voor de Republiek,Partij voor de Republiek,Partij voor de Republiek
PartijvdSport,PartijvdSport,PartijvdSport
Piratenpartij,Piratenpartij,Piratenpartij
Piratenpartij - De Groenen,PP-Groenen,Piratenpartij - De Groenen
Politieke Partij NXD,Politieke Partij NXD,Politieke Partij NXD
Politieke Partij voor Basisinkomen,Politieke Partij voor Basisinkomen,Politieke Partij voor Basisinkomen
SOPN,SOPN,SOPN
SP (Socialistische Partij),SP,SP
Samen voor Nederland,Samen voor Nederland,Samen voor Nederland
Splinter,Splinter,Splinter
Staatkundig Gereformeerde Partij (SGP),SGP,SGP
StemNL,StemNL,StemNL
Trots op Nederland (TROTS),Trots op Nederland (TROTS),Trots op Nederland (TROTS)
U-Buntu Connected Front,U-Buntu Connected Front,U-Buntu Connected Front
VNL (VoorNederland),VNL (VoorNederland),VNL (VoorNederland)
VVD,VVD,VVD
Volt,Volt,Volt
Vrij en Sociaal Nederland,Vrij en Sociaal Nederland,Vrij en Sociaal Nederland
Vrije Democratische Partij (VDP),Vrije Democratische Partij (VDP),Vrije Democratische Partij (VDP)
Vrijzinnige Partij,Vrijzinnige Partij,Vrijzinnige Partij
Wij zijn Nederland,Wij zijn Nederland,Wij zijn Nederland
